종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"094860","코닉글로리","KOSDAQ","벤처기업부","450","11","2.51","439","464","430","143671","63627242","21443877900","47653062"
"046070","코다코","KOSDAQ","우량기업부","2180","10","0.46","2150","2205","2150","67378","146027115","85160078080","39064256"
"047770","코데즈컴바인","KOSDAQ","중견기업부","2780","-25","-0.89","2790","2840","2750","67348","187400240","105202433560","37842602"
"080530","코디","KOSDAQ","투자주의환기종목(소속부없음)","3590","0","0.00","0","0","0","0","0","42585046700","11862130"
"224060","코디엠","KOSDAQ","중견기업부","743","33","4.65","715","777","715","3220148","2398704843","105181678271","141563497"
"078650","코렌","KOSDAQ","관리종목(소속부없음)","1305","5","0.38","1305","1325","1305","13575","17845750","39243269655","30071471"
"104540","코렌텍","KOSDAQ","기술성장기업부","6080","0","0.00","5790","6270","5790","3672","22301520","60417890240","9937153"
"027050","코리아나","KOSDAQ","우량기업부","4270","125","3.02","4155","4300","4155","127024","541331905","170800000000","40000000"
"007815","코리아써우","KOSPI",,"2680","10","0.37","2625","2680","2625","474","1254185","7945369200","2964690"
"007810","코리아써키트","KOSPI",,"5110","30","0.59","5140","5150","4980","35939","181538890","120702037610","23620751"
"00781K","코리아써키트2우B","KOSPI",,"4190","-10","-0.24","4200","4200","4120","28","117220","3283698810","783699"
"101670","코리아에스이","KOSDAQ","벤처기업부","1715","-20","-1.15","1700","1775","1700","495951","859100680","32413500000","18900000"
"123410","코리아에프티","KOSDAQ","우량기업부","2780","15","0.54","2790","2850","2770","464044","1298812580","77398157920","27841064"
"152330","코리아오토글라스","KOSPI",,"12600","-50","-0.40","12650","12800","12550","21506","272316150","252000000000","20000000"
"003690","코리안리","KOSPI",,"8660","50","0.58","8550","8710","8520","170363","1463272060","1042396544560","120369116"
"036690","코맥스","KOSDAQ","우량기업부","4130","145","3.64","3965","4215","3965","69653","288675510","58976255450","14279965"
"049430","코메론","KOSDAQ","우량기업부","7600","210","2.84","7420","7660","7360","16855","126966390","68764800000","9048000"
"183300","코미코","KOSDAQ","우량기업부","21350","700","3.39","20850","21350","20650","9313","194048300","187346250000","8775000"
"041960","코미팜","KOSDAQ","벤처기업부","20300","-100","-0.49","20100","20700","20100","122853","2498347000","1122962058400","55318328"
"089890","코세스","KOSDAQ","중견기업부","5160","160","3.20","5000","5220","4950","39536","199227965","86956123920","16851962"
"009730","코센","KOSDAQ","중견기업부","1565","55","3.64","1500","1605","1495","1260180","1978567315","65311185655","41732387"
"189350","코셋","KONEX","일반기업부","1000","29","2.99","1005","1050","1000","101","105955","4000000000","4000000"
"192820","코스맥스","KOSPI",,"130000","2000","1.56","129500","134500","129500","90742","11939724500","1306436170000","10049509"
"044820","코스맥스비티아이","KOSPI",,"19550","200","1.03","19200","20000","19200","15513","306166050","187756655550","9603921"
"241710","코스메카코리아","KOSDAQ","우량기업부","32500","-450","-1.37","33300","33300","31950","25372","825352700","347100000000","10680000"
"005070","코스모신소재","KOSPI",,"17350","150","0.87","17150","17600","16850","191308","3274991850","342627192750","19747965"
"005420","코스모화학","KOSPI",,"12100","50","0.41","12050","12250","11950","133705","1617860650","191670025800","15840498"
"069110","코스온","KOSDAQ","우량기업부","10150","450","4.64","9800","10200","9800","70124","702224030","189776184150","18697161"
"071950","코아스","KOSPI",,"1350","65","5.06","1295","1350","1290","81555","108091755","41724733500","30907210"
"166480","코아스템","KOSDAQ","기술성장기업부","12000","550","4.80","11600","12150","11550","120088","1432832700","188609280000","15717440"
"045970","코아시아홀딩스","KOSDAQ","중견기업부","5100","0","0.00","5250","5290","5090","9953","51064330","100041671400","19616014"
"029960","코엔텍","KOSDAQ","벤처기업부","7640","310","4.23","7340","7750","7300","425792","3236487460","382000000000","50000000"
"002020","코오롱","KOSPI",,"30900","800","2.66","30100","30950","30100","13921","426957550","390156563400","12626426"
"003070","코오롱글로벌","KOSPI",,"7130","130","1.86","6980","7130","6980","5319","37397660","179750422940","25210438"
"003075","코오롱글로벌우","KOSPI",,"15000","350","2.39","14650","15100","14650","6066","90253550","4692045000","312803"
"144620","코오롱머티리얼","KOSPI",,"3000","115","3.99","2900","3000","2830","652960","1906306920","135000000000","45000000"
"102940","코오롱생명과학","KOSDAQ","우량기업부","74500","-1100","-1.46","76100","76200","73900","65497","4887455800","850220522000","11412356"
"002025","코오롱우","KOSPI",,"17000","100","0.59","17050","17100","16950","75","1279700","18298630000","1076390"
"120110","코오롱인더","KOSPI",,"57300","3000","5.52","54900","58400","54800","223728","12823868700","1545887532000","26978840"
"120115","코오롱인더우","KOSPI",,"25000","600","2.46","24700","25050","24500","6683","166481150","69196500000","2767860"
"950160","코오롱티슈진","KOSDAQ","외국기업(소속부없음)","43150","2200","5.37","41600","43300","41100","558855","23669596850","2632907282500","61017550"
"138490","코오롱플라스틱","KOSPI",,"5610","10","0.18","5600","5630","5520","16892","94546770","213180000000","38000000"
"021240","코웨이","KOSPI",,"74100","600","0.82","73900","75800","73700","139065","10335982900","5468551767900","73799619"
"033290","코웰패션","KOSDAQ","우량기업부","4755","-105","-2.16","4895","4895","4690","451415","2158087915","430328612670","90500234"
"056360","코위버","KOSDAQ","우량기업부","7220","420","6.18","6840","7340","6800","204364","1466494430","70732896000","9796800"
"121850","코이즈","KOSDAQ","벤처기업부","1910","60","3.24","1890","1920","1860","12064","23005960","20117724400","10532840"
"015710","코콤","KOSDAQ","우량기업부","6750","80","1.20","6690","6820","6630","31142","209466070","118330875000","17530500"
"052330","코텍","KOSDAQ","우량기업부","13900","200","1.46","13700","13950","13600","56014","771826350","216486272800","15574552"
"126600","코프라","KOSDAQ","우량기업부","2865","-20","-0.69","2885","2930","2840","57151","164189980","60496291410","21115634"
"200130","콜마비앤에이치","KOSDAQ","우량기업부","19950","150","0.76","19950","20050","19650","37648","748489950","589393982100","29543558"
"031820","콤텍시스템","KOSPI",,"1445","10","0.70","1430","1470","1430","834821","1208404625","69145368370","47851466"
"225650","쿠첸","KOSDAQ","벤처기업부","5510","50","0.92","5650","5650","5360","6037","33093120","58881386270","10686277"
"192400","쿠쿠홀딩스","KOSPI",,"118500","-1000","-0.84","120000","122000","116000","5452","644918500","842823784500","7112437"
"284740","쿠쿠홈시스","KOSPI",,"177500","1000","0.57","173000","178500","170500","2360","412345500","796525215000","4487466"
"060280","큐렉소","KOSDAQ","중견기업부","6440","410","6.80","5950","6670","5950","105025","672355650","214820709320","33357253"
"015590","큐로","KOSPI",,"513","-1","-0.19","510","526","510","96289","49851016","63987847398","124732646"
"040350","큐로컴","KOSDAQ","벤처기업부","1290","30","2.38","1270","1300","1255","326642","417831195","140790610320","109140008"
"051780","큐로홀딩스","KOSDAQ","중견기업부","597","17","2.93","594","599","586","57139","33811355","35935353534","60193222"
"115180","큐리언트","KOSDAQ","기술성장기업부","19900","300","1.53","19850","20300","19550","77520","1534912550","169879653400","8536666"
"182360","큐브엔터","KOSDAQ","중견기업부","3300","-30","-0.90","3330","3330","3180","506584","1633330220","87693431100","26573767"
