,Name,ROE,ROA,PER,PBR,PSR,PCR,POR,GP/A,시가총액
114,SK네트웍스,,,,,,,,,1204951026185.0
115,SK디스커버리,3.182835703158614,0.0632289472161996,3.5188831122610034,11.200026804946223,0.27675561926316705,7.6544654836364385,7.231365941184346,0.03076808397953749,1250787073500
116,SK디앤디,2.7329531304541796,0.03860635134079648,12.394771331474674,33.874329111617435,1.1710211271338071,-4.403124383730688,5.861095353416549,0.0816429127932215,819425576600
117,SK렌터카,0.7694006478049242,0.00816779159992964,23.52480473162939,18.1,0.49560262262565413,-3.4565811222906153,6.044691603636094,0.031787511270451776,427936852000
118,SK이노베이션,,,,,,,,,17568457160000.0
119,SK케미칼,3.86605960568682,0.1203609372052685,18.061122746924397,69.82537708523579,3.793910424313694,18.657162781347356,43.36063338579224,0.050134269060550886,4608497930000
120,SK텔레콤,33.61495553215798,0.03132192261762733,12.807059346714311,430.5087304375098,1.0318302994241342,3.300908370085519,14.242301491709924,0.02816551257889329,19217479218000
121,SK하이닉스,1.3010844115295823,0.0668632341711218,18.127724151455563,23.585699309967158,2.704299368506707,7.005382506016653,17.210203728127226,0.07042788592602961,86268280252500
122,SM C&C,-0.3008476177601297,-0.04721716837633583,-10.836050570289864,3.26,1.1810902749000631,169.76451409083157,-35.40483325530317,-0.014451349639818693,154214495600
123,SM Life Design,-0.13293116108532776,-0.0532857665907641,-30.654865055734938,4.0749868047728866,3.202912816242353,-41.744336664690735,-197.01402032639228,-0.008291125583474229,93417348780
124,SNK,-0.1046713470565716,-0.033499480011305906,-455.1617735744232,47.642395968693116,72.14593241194234,174.00049520845664,-667.7199771842752,-0.02283544488224729,477049770000
125,SPC삼립,-0.28693734251522973,-0.010474847797859297,-50.18517239259541,14.4,0.24434119000181678,5.805585333625262,12.15275879866132,0.04325618990970786,621288648000
126,STX,-0.4146237605693777,-0.03311079193539768,-5.402516197183099,2.24001158221303,0.11323738010818324,1.9074618181818181,-224.0784,-0.0007982991208994062,110470651200
127,STX엔진,0.2986216571932717,0.025513400497490922,8.112792227442243,2.422655459423497,0.2855057928225057,2.918812663274552,11.677692493028443,0.017724813131980904,167504821120
128,STX중공업,0.015559288409466326,0.0023608740694507436,99.23332991633633,1.544,0.44157420862392105,7.184781971807023,47.207019630859016,0.0049627660728571625,109492667360
129,TCC스틸,-0.07336783508695652,-0.0055009326002393825,-72.10244099107221,5.29,0.28177533178139297,-21.757486230590114,125.31307037910688,0.0031651181078295146,121670000000
130,THE E&M,-1.4720154590605643,-0.19462938797136498,-7.585192372759841,11.165520432650768,2.9468433766410045,85.19777102444533,10237.592303549176,0.00014420395981616774,179107998000
131,THE MIDONG,-1.0028738044514323,-0.31324903581138297,-3.888824279474808,3.9,0.9962902720365799,-7.0468286820404655,-6.258942332301031,-0.19462880328816398,26893982700
132,TJ미디어,-0.3521526083598815,-0.02318560928775484,-17.60600334291412,6.2,0.7763688021078456,92.45181971329247,-15.898953384909788,-0.025675018018176832,43187987900
133,TPC,0.4227461752116821,0.03930273206929712,13.24435942555206,5.599002290280925,,11.347895929844588,,,54797321940.0
134,TS트릴리온,-0.446975753268127,-0.0547038331752143,-63.20253345611276,28.25,2.3121041270426756,216.04482663887308,38.93447612114619,0.08880101110584329,142533993575
135,UCI,-0.8586416576395884,-0.28238942784007287,-5.203628841793968,4.468052494459144,7.620549372059678,-56.783102580165796,-6.329312661316644,-0.23216577375095576,83770102080
136,WI,,,,,,,,,103901963130.0
137,WISCOM,-0.13063312140759648,-0.00766126057831568,-41.87299469736098,5.47,0.40915014237896496,7.1122751759332985,-24.355796503404754,-0.013171399404904199,41917807930
138,YBM넷,,,,,,,,,140452321170.0
139,YG PLUS,-0.24593941801478597,-0.04947675715111099,-40.30161602417176,9.911755990040175,2.809880994153276,-40.372698384372185,49.0418915998516,0.040658979573930276,301049987700
140,YTN,0.19045688092857144,0.02681591074831765,15.751596820096587,3.0,0.9466412006912672,5.458034213238781,47.15585680962403,0.00895739030204596,126000000000
141,YW,0.5758428839998845,0.028518354918955515,13.82321501432602,7.96,2.7140199688714186,-25.49545092706971,12.461420065364983,0.031634865836459386,45194364640
142,가비아,3.5094995701731806,0.09134396682600064,7.49394592423392,26.3,1.052940293108875,3.5539917132655856,6.235515849955555,0.10977868782162503,177994244600
143,가온미디어,0.26490212935331303,0.0060405179675865435,48.16872683583906,12.75999830705184,0.1990619631890745,2.0873155694340175,10.382641617993178,0.028024087764274896,96173989340
144,가온전선,0.45696035748941133,0.017523032329257768,9.541309062244048,4.36,0.10577787682107134,9.047016894003601,7.1691081403130585,0.023321264498856006,90695564600
145,강남제비스코,1.8136213519175468,0.03519946422446927,5.70459676225992,10.345978492114295,0.4195918865873694,4.682303130327285,52.48339115558216,0.0038259484615417077,143000000000
146,강스템바이오텍,-1.5562174144444079,-0.2393276748286916,-9.949358470488397,15.48336491432402,21.49925746875434,-14.038476803475346,-10.491546241218572,-0.22695957049916876,196458028060
147,강원랜드,,,,,,,,,5027601750000.0
148,갤럭시아머니트리,0.22877910941156576,0.017121820524758437,31.689956389145213,7.25,1.7506761714109502,-128.73874733469395,18.386525150452883,0.02951018429488302,142208162750
149,갤럭시아에스엠,,,,,,,,,39395990920.0
150,경농,1.2258057108347644,0.035784703658461085,19.578959200358256,24.0,1.048351561136567,16.40399766844266,18.22583853749644,0.03844142761851553,260301000000
151,경동나비엔,0.5127021944312726,0.05667342222120605,17.02334220588489,8.727904905511686,0.811540089166689,12.300302994591185,10.563540809695475,0.09133027247499259,708806433000
152,경동도시가스,1.2902975100951486,0.027180514946912634,5.766112033690092,7.44,0.10089387326891693,348.79799894639706,6.046438553742549,0.025920365008965173,109654551600
153,경동인베스트,1.3939576251901145,0.02797272907018053,4.476463191733651,6.24,0.2376195782433499,3.9977584123212666,3.7907217362266676,0.033032994972520845,73788717600
154,경동제약,0.8207285078412074,0.044176055676661934,26.770787325865165,21.971548335691622,1.9824818397374304,20.133264991856468,18.184956180457984,0.06503330443470505,344610179200
155,경방,0.9502516470565492,0.010297795567521062,26.098349923222138,24.8,1.0325753380275313,10.106816229949558,15.555477336554555,0.01727722437211292,339949348000
156,경인양행,-0.36735567451252066,-0.01500994094814133,-38.32797742592134,14.08,0.8824019185899706,5.3269946856170876,86.23110765443157,0.006671614147997176,290585609600
