종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"102280","쌍방울","KOSPI",,"1275","45","3.66","1240","1295","1225","2261127","2868295485","164633371575","129124213"
"003410","쌍용양회","KOSPI",,"23700","-200","-0.84","23550","24350","23350","88714","2104430500","2388294480300","100771919"
"003415","쌍용양회우","KOSPI",,"19000","-50","-0.26","19100","19200","18500","3930","74453600","5866003000","308737"
"010280","쌍용정보통신","KOSDAQ","관리종목(소속부없음)","715","-4","-0.56","720","753","699","209016","149979538","28931784310","40464034"
"003620","쌍용차","KOSPI",,"4920","-45","-0.91","4950","5010","4910","146092","723067895","678711028320","137949396"
"004770","써니전자","KOSPI",,"4750","-250","-5.00","5310","5320","4660","7789330","38992495395","142388280000","29976480"
"217320","썬테크","KONEX","일반기업부","14650","-2250","-13.31","14650","14650","14650","100","1465000","15382500000","1050000"
"122800","썬텍","KOSDAQ","투자주의환기종목(소속부없음)","1000","0","0.00","0","0","0","0","0","33153085000","33153085"
"208640","썸에이지","KOSDAQ","벤처기업부","4530","-70","-1.52","4570","4670","4430","820861","3731086685","344372996370","76020529"
"222420","쎄노텍","KOSDAQ","중견기업부","2620","25","0.96","2600","2690","2585","103703","272964385","102661857300","39183915"
"037760","쎄니트","KOSDAQ","벤처기업부","1795","5","0.28","1815","1820","1775","78730","141452145","60730093195","33832921"
"136510","쎄미시스코","KOSDAQ","벤처기업부","11000","-300","-2.65","11300","11300","10950","9767","108267900","59400000000","5400000"
"099320","쎄트렉아이","KOSDAQ","벤처기업부","35450","-50","-0.14","35550","35600","35100","6379","225278900","129746645500","3659990"
"049960","쎌바이오텍","KOSDAQ","벤처기업부","46650","-1600","-3.32","47900","48100","45800","84746","3948223500","438510000000","9400000"
"050890","쏠리드","KOSDAQ","벤처기업부","4035","-105","-2.54","4155","4170","3965","587297","2368564660","140610812475","34847785"
"099830","씨그널엔터테인먼트그룹","KOSDAQ","투자주의환기종목(소속부없음)","5790","0","0.00","0","0","0","0","0","67359962550","11633845"
"066790","씨씨에스","KOSDAQ","중견기업부","485","-21","-4.15","506","535","477","4701415","2355009018","41385212475","85330335"
"222080","씨아이에스","KOSDAQ","중견기업부","2345","-15","-0.64","2430","2570","2305","4955424","12132279390","125749933225","53624705"
"004920","씨아이테크","KOSPI",,"798","36","4.72","749","801","745","1022384","794938858","35740455324","44787538"
"236030","씨알푸드","KONEX","일반기업부","51500","0","0.00","0","0","0","0","0","101970000000","1980000"
"103660","씨앗","KONEX","일반기업부","4520","165","3.79","4350","4520","4350","4352","18961870","11831009600","2617480"
"245450","씨앤에스링크","KONEX","일반기업부","8200","-10","-0.12","8200","8200","8200","1","8200","8527672000","1039960"
"264660","씨앤지하이테크","KOSDAQ","벤처기업부","14450","-150","-1.03","14700","14750","14150","35856","518925800","60729593000","4202740"
"112610","씨에스윈드","KOSPI",,"34200","-750","-2.15","34900","35000","33800","38342","1316215700","591171453000","17285715"
"115530","씨엔플러스","KOSDAQ","투자주의환기종목(소속부없음)","808","-5","-0.62","813","813","793","172245","137824066","24751892240","30633530"
"225330","씨엠에스에듀","KOSDAQ","벤처기업부","8830","-110","-1.23","8850","9020","8830","16922","150241720","164456701440","18624768"
"115480","씨유메디칼","KOSDAQ","벤처기업부","2980","-120","-3.87","3135","3135","2945","291327","870049490","46398969520","15570124"
"189330","씨이랩","KONEX","일반기업부","28500","-1500","-5.00","25500","29450","25500","255","6901250","63484320000","2227520"
"096530","씨젠","KOSDAQ","우량기업부","34150","-700","-2.01","34850","35050","33950","74160","2544129800","895891783000","26234020"
"900120","씨케이에이치","KOSDAQ","외국기업(소속부없음)","731","37","5.33","711","769","709","2349988","1721408967","80705658067","110404457"
"101240","씨큐브","KOSDAQ","벤처기업부","8100","250","3.18","7850","8190","7810","126864","1015101880","65208572100","8050441"
"047920","씨트리","KOSDAQ","기술성장기업부","8330","-120","-1.42","8590","8670","8250","540225","4553359470","108359647130","13008361"
"189540","씨티네트웍스","KONEX","일반기업부","2795","-490","-14.92","2795","2795","2795","400","1118000","6148972050","2199990"
"060590","씨티씨바이오","KOSDAQ","중견기업부","14450","-150","-1.03","14750","15600","14450","201371","2976333500","254683171850","17625133"
"036170","씨티엘","KOSDAQ","중견기업부","3520","-240","-6.38","3780","3780","3495","989083","3572226175","92416984000","26254825"
"260930","씨티케이코스메틱스","KOSDAQ","중견기업부","38550","-200","-0.52","39400","40000","38200","60945","2393133300","390208921050","10122151"
"013990","아가방컴퍼니","KOSDAQ","중견기업부","5520","120","2.22","5570","5830","5450","1583815","8980378350","181539198720","32887536"
"123860","아나패스","KOSDAQ","벤처기업부","17950","150","0.84","18000","18150","17400","37796","668756950","181792215000","10127700"
"008700","아남전자","KOSPI",,"3145","-105","-3.23","3260","3335","3110","2406705","7742290035","242557558900","77124820"
"058220","아리온","KOSDAQ","중견기업부","1030","-40","-3.74","1080","1085","1010","1638709","1685581570","87463879640","84916388"
"002790","아모레G","KOSPI",,"149500","7500","5.28","147000","154500","146500","253192","38237139000","12327497910000","82458180"
"002795","아모레G우","KOSPI",,"58000","2600","4.69","56400","60000","56400","12024","703361000","373738660000","6443770"
"090430","아모레퍼시픽","KOSPI",,"333000","16000","5.05","327500","343500","327000","489376","164802199500","19466677170000","58458490"
"090435","아모레퍼시픽우","KOSPI",,"170000","5500","3.34","167500","176500","166500","13499","2331313000","1794831100000","10557830"
"052710","아모텍","KOSDAQ","우량기업부","38350","-850","-2.17","39200","39800","37700","147338","5639402100","373659620100","9743406"
"074430","아미노로직스","KOSDAQ","중견기업부","2520","-25","-0.98","2595","2595","2495","270422","682797980","221323646880","87826844"
"092040","아미코젠","KOSDAQ","기술성장기업부","34800","1050","3.11","35000","36150","33800","267302","9368096050","333932274000","9595755"
"083930","아바코","KOSDAQ","우량기업부","7760","-140","-1.77","7890","7890","7540","114813","881208200","124132878800","15996505"
"149950","아바텍","KOSDAQ","우량기업부","7920","40","0.51","7880","8010","7800","19132","150956940","123611400000","15607500"
"090370","아비스타","KOSPI",,"3470","15","0.43","3500","3540","3330","325728","1112984715","125258779570","36097631"
